t,A,V,P,M,U,health,state,score,audio_score,raw_distance,distance,motion_fraction,naive_fraction,fallback,server,physical_p,physical_m,physical_u
16.5,0,0,0,0,0,1,1,0,3.960090634398583,2.9800324281407873,3.010666212934677,0.0,0.0,0,1,0,0,0
16.6,0,0,0,0,0,1,1,0,4.562845541271602,2.983413371737057,2.9933237151229317,0.0,0.0,0,1,0,0,0
16.7,0,0,0,0,0,1,1,0,3.9498326758258226,3.028796517685707,2.9933237151229317,0.0,0.0,0,1,0,0,0
16.8,0,0,0,0,0,1,1,0,3.7065961480724923,2.975180726207012,2.983413371737057,0.0,0.0,0,1,0,0,0
16.9,0,0,0,0,0,1,1,0,4.209283308364867,2.984154743077137,2.983413371737057,0.0,0.0,0,1,0,0,0
17.0,0,0,0,0,0,1,1,0,4.646498550327211,3.0107215315550113,2.984154743077137,0.0,0.0,0,1,0,0,0
17.1,0,0,0,0,0,1,1,0,4.475669367120164,3.0208732187806624,3.0107215315550113,0.0,0.0,0,1,0,0,0
17.2,0,0,0,0,0,1,1,0,3.947625538981601,2.9683351065655983,2.984154743077137,0.0,0.0,0,1,0,0,0
17.3,0,0,0,0,0,1,1,0,4.666977812229103,2.984436213666064,2.984436213666064,0.0,0.0,0,1,0,0,0
17.4,0,0,0,0,0,1,1,0,4.328102338519756,2.999770181841815,2.999770181841815,0.0,0.0,0,1,0,0,0
17.5,0,0,0,0,0,1,1,0,3.733009867175743,3.0203244858357285,2.999770181841815,0.0,0.0,0,1,0,0,0
17.6,0,0,0,0,0,1,1,0,4.369179231909829,2.986266284683984,2.986266284683984,0.0,0.0,0,1,0,0,0
17.7,0,0,0,0,0,1,1,0,4.142946227350488,3.0056804398913237,2.999770181841815,0.0,0.0,0,1,0,0,0
17.8,0,0,0,0,0,1,1,0,3.9677701541114074,3.04488807912649,3.0056804398913237,0.0,0.0,0,1,0,0,0
17.9,0,0,0,0,0,1,1,0,4.235105953588562,2.987905235990944,3.0056804398913237,0.0,0.0,0,1,0,0,0
18.0,0,0,0,0,0,1,1,0,3.9366762716717325,2.97145487001115,2.987905235990944,0.0,0.0,0,1,0,0,0
18.1,0,0,0,0,0,1,1,0,4.306549744250092,3.0154071111564376,3.0056804398913237,0.0,0.0,0,1,0,0,0
18.2,0,0,0,0,0,1,1,0,3.9604016508374342,3.0054434995979724,3.0054434995979724,0.0,0.0,0,1,0,0,0
18.3,0,0,0,0,0,1,1,0,3.860942109133418,3.0148524220456,3.0054434995979724,0.0,0.0,0,1,0,0,0
18.4,0,0,0,0,0,1,1,0,4.336143564973911,2.981675219631689,3.0054434995979724,0.0,0.0,0,1,0,0,0
18.5,0,0,0,0,0,1,1,0,4.086401798226732,2.9822705364019937,3.0054434995979724,0.0,0.0,0,1,0,0,0
18.6,0,0,0,0,0,1,1,0,4.470291635005901,2.999396140375709,2.999396140375709,0.0,0.0,0,1,0,0,0
18.7,0,0,0,0,0,1,1,0,4.014267846496028,2.978536153694963,2.9822705364019937,0.0,0.0,0,1,0,0,0
18.8,0,0,0,0,0,1,1,0,4.118963219484746,2.994671318278878,2.9822705364019937,0.0,0.0,0,1,0,0,0
18.9,0,0,0,0,0,1,1,0,4.642176886847077,3.002817806403333,2.994671318278878,0.0,0.0,0,1,0,0,0
19.0,0,0,0,0,0,1,1,0,4.358705743967037,2.9891821527976927,2.994671318278878,0.0,0.0,0,1,0,0,0
19.1,0,0,0,0,0,1,1,0,4.0807682778214325,2.9876379937150266,2.9891821527976927,0.0,0.0,0,1,0,0,0
19.2,0,0,0,0,0,1,1,0,3.8795987037278494,3.0198590967416683,2.994671318278878,0.0,0.0,0,1,0,0,0
19.3,0,0,0,0,0,1,1,0,4.184822649404031,3.007593347960864,3.002817806403333,0.0,0.0,0,1,0,0,0
19.4,0,0,0,0,0,1,1,0,4.1864646992785435,2.993188568871421,2.993188568871421,0.0,0.0,0,1,0,0,0
19.5,0,0,0,0,0,1,1,0,3.8312947649327525,2.970245389288389,2.993188568871421,0.0,0.0,0,1,0,0,0
19.6,0,0,0,0,0,1,1,0,4.518557972554713,3.007928417556547,3.007593347960864,0.0,0.0,0,1,0,0,0
19.7,0,0,0,0,0,1,1,0,3.8661464110151025,2.988035687312988,2.993188568871421,0.0,0.0,0,1,0,0,0
19.8,0,0,0,0,0,1,1,0,3.971820898619259,2.9800911412804263,2.988035687312988,0.0,0.0,0,1,0,0,0
19.9,0,0,0,0,0,1,1,0,4.344002308082358,3.029255972218302,2.988035687312988,0.0,0.0,0,1,0,0,0
20.0,0,0,0,0,0,1,1,0,4.177985556233919,2.987022120244908,2.988035687312988,0.0,0.0,0,1,0,0,0
20.1,0,0,0,0,0,1,1,0,4.20295600418171,2.9898013305756495,2.988035687312988,0.0,0.0,0,1,0,0,0
20.2,0,0,0,0,0,1,1,0,4.068483353273467,3.019042145585941,2.9898013305756495,0.0,0.0,0,1,0,0,0
20.3,0,0,0,0,0,1,1,0,4.201039545024851,3.0155855051097866,3.0155855051097866,0.0,0.0,0,1,0,0,0
20.4,0,0,0,0,0,1,1,0,4.473492954217811,2.9711908920201067,2.9898013305756495,0.0,0.0,0,1,0,0,0
20.5,0,0,0,0,0,1,1,0,3.8719440388962645,2.9781263922989862,2.9898013305756495,0.0,0.0,0,1,0,0,0
20.6,0,0,0,0,0,1,1,0,3.8017254617740863,2.995125627035662,2.995125627035662,0.0,0.0,0,1,0,0,0
20.7,0,0,0,0,0,1,1,0,4.152910164030142,2.9702320761553898,2.9781263922989862,0.0,0.0,0,1,0,0,0
20.8,0,0,0,0,0,1,1,0,3.9605884734093686,3.01132332179755,2.9781263922989862,0.0,0.0,0,1,0,0,0
20.9,0,0,0,0,0,1,1,0,3.9994570625462065,3.015647806479129,2.995125627035662,0.0,0.0,0,1,0,0,0
21.0,0,0,0,0,0,1,1,0,4.573536588956136,2.9975886185764575,2.9975886185764575,0.0,0.0,0,1,0,0,0
21.1,0,0,0,0,0,1,1,0,3.7352959093425326,2.9578929168360277,2.9975886185764575,0.0,0.0,0,1,0,0,0
21.2,0,0,0,0,0,1,1,0,3.794402443474488,3.0016074568236117,3.0016074568236117,0.0,0.0,0,1,0,0,0
21.3,0,0,0,0,0,1,1,0,3.9628857657600896,2.9917044180824806,2.9975886185764575,0.0,0.0,0,1,0,0,0
21.4,0,0,0,0,0,1,1,0,3.896266685751679,3.013870351039399,2.9975886185764575,0.0,0.0,0,1,0,0,0
21.5,0,0,0,0,0,1,1,0,3.949816749801628,2.9942926547107187,2.9942926547107187,0.0,0.0,0,1,0,0,0
